value,method,pooling_level,time_unit,resistance_threshold,dpval,sampling_intensity,time_in_days,true_value,delay_in_days,method_name
10,naats,monthly,month,0.22,30,0.8,330,241.0,89.0,NAAT remnants
31,gisp,monthly,month,0.22,30,5,960,241.0,719.0,Culture
24,gisp,monthly,month,0.22,30,10,750,241.0,509.0,Culture
19,gisp,monthly,month,0.22,30,20,600,241.0,359.0,Culture
16,gisp,monthly,month,0.22,30,40,510,241.0,269.0,Culture
14,gisp,monthly,month,0.22,30,80,450,241.0,209.0,Culture
18,gisp,monthly,month,0.23,30,25,570,262.0,308.0,Culture
13,naats,monthly,month,0.23,30,0.05,420,262.0,158.0,NAAT remnants
12,naats,monthly,month,0.23,30,0.1,390,262.0,128.0,NAAT remnants
11,naats,monthly,month,0.23,30,0.2,360,262.0,98.0,NAAT remnants
11,naats,monthly,month,0.23,30,0.4,360,262.0,98.0,NAAT remnants
10,naats,monthly,month,0.23,30,0.8,330,262.0,68.0,NAAT remnants
31,gisp,monthly,month,0.23,30,5,960,262.0,698.0,Culture
24,gisp,monthly,month,0.23,30,10,750,262.0,488.0,Culture
19,gisp,monthly,month,0.23,30,20,600,262.0,338.0,Culture
17,gisp,monthly,month,0.23,30,40,540,262.0,278.0,Culture
15,gisp,monthly,month,0.23,30,80,480,262.0,218.0,Culture
18,gisp,monthly,month,0.24,30,25,570,282.0,288.0,Culture
14,naats,monthly,month,0.24,30,0.05,450,282.0,168.0,NAAT remnants
12,naats,monthly,month,0.24,30,0.1,390,282.0,108.0,NAAT remnants
12,naats,monthly,month,0.24,30,0.2,390,282.0,108.0,NAAT remnants
11,naats,monthly,month,0.24,30,0.4,360,282.0,78.0,NAAT remnants
11,naats,monthly,month,0.24,30,0.8,360,282.0,78.0,NAAT remnants
31,gisp,monthly,month,0.24,30,5,960,282.0,678.0,Culture
24,gisp,monthly,month,0.24,30,10,750,282.0,468.0,Culture
19,gisp,monthly,month,0.24,30,20,600,282.0,318.0,Culture
17,gisp,monthly,month,0.24,30,40,540,282.0,258.0,Culture
15,gisp,monthly,month,0.24,30,80,480,282.0,198.0,Culture
20,gisp,monthly,month,0.25,30,25,630,302.0,328.0,Culture
14,naats,monthly,month,0.25,30,0.05,450,302.0,148.0,NAAT remnants
13,naats,monthly,month,0.25,30,0.1,420,302.0,118.0,NAAT remnants
12,naats,monthly,month,0.25,30,0.2,390,302.0,88.0,NAAT remnants
12,naats,monthly,month,0.25,30,0.4,390,302.0,88.0,NAAT remnants
12,naats,monthly,month,0.25,30,0.8,390,302.0,88.0,NAAT remnants
31,gisp,monthly,month,0.25,30,5,960,302.0,658.0,Culture
24,gisp,monthly,month,0.25,30,10,750,302.0,448.0,Culture
19,gisp,monthly,month,0.25,30,20,600,302.0,298.0,Culture
17,gisp,monthly,month,0.25,30,40,540,302.0,238.0,Culture
15,gisp,monthly,month,0.25,30,80,480,302.0,178.0,Culture
20,gisp,monthly,month,0.26,30,25,630,321.0,309.0,Culture
15,naats,monthly,month,0.26,30,0.05,480,321.0,159.0,NAAT remnants
14,naats,monthly,month,0.26,30,0.1,450,321.0,129.0,NAAT remnants
13,naats,monthly,month,0.26,30,0.2,420,321.0,99.0,NAAT remnants
12,naats,monthly,month,0.26,30,0.4,390,321.0,69.0,NAAT remnants
12,naats,monthly,month,0.26,30,0.8,390,321.0,69.0,NAAT remnants
31,gisp,monthly,month,0.26,30,5,960,321.0,639.0,Culture
24,gisp,monthly,month,0.26,30,10,750,321.0,429.0,Culture
22,gisp,monthly,month,0.26,30,20,690,321.0,369.0,Culture
19,gisp,monthly,month,0.26,30,40,600,321.0,279.0,Culture
16,gisp,monthly,month,0.26,30,80,510,321.0,189.0,Culture
20,gisp,monthly,month,0.27,30,25,630,340.0,290.0,Culture
15,naats,monthly,month,0.27,30,0.05,480,340.0,140.0,NAAT remnants
14,naats,monthly,month,0.27,30,0.1,450,340.0,110.0,NAAT remnants
14,naats,monthly,month,0.27,30,0.2,450,340.0,110.0,NAAT remnants
13,naats,monthly,month,0.27,30,0.4,420,340.0,80.0,NAAT remnants
13,naats,monthly,month,0.27,30,0.8,420,340.0,80.0,NAAT remnants
31,gisp,monthly,month,0.27,30,5,960,340.0,620.0,Culture
24,gisp,monthly,month,0.27,30,10,750,340.0,410.0,Culture
22,gisp,monthly,month,0.27,30,20,690,340.0,350.0,Culture
19,gisp,monthly,month,0.27,30,40,600,340.0,260.0,Culture
17,gisp,monthly,month,0.27,30,80,540,340.0,200.0,Culture
20,gisp,monthly,month,0.28,30,25,630,358.0,272.0,Culture
16,naats,monthly,month,0.28,30,0.05,510,358.0,152.0,NAAT remnants
15,naats,monthly,month,0.28,30,0.1,480,358.0,122.0,NAAT remnants
14,naats,monthly,month,0.28,30,0.2,450,358.0,92.0,NAAT remnants
14,naats,monthly,month,0.28,30,0.4,450,358.0,92.0,NAAT remnants
13,naats,monthly,month,0.28,30,0.8,420,358.0,62.0,NAAT remnants
31,gisp,monthly,month,0.28,30,5,960,358.0,602.0,Culture
24,gisp,monthly,month,0.28,30,10,750,358.0,392.0,Culture
22,gisp,monthly,month,0.28,30,20,690,358.0,332.0,Culture
20,gisp,monthly,month,0.28,30,40,630,358.0,272.0,Culture
17,gisp,monthly,month,0.28,30,80,540,358.0,182.0,Culture
23,gisp,monthly,month,0.29,30,25,720,376.0,344.0,Culture
17,naats,monthly,month,0.29,30,0.05,540,376.0,164.0,NAAT remnants
16,naats,monthly,month,0.29,30,0.1,510,376.0,134.0,NAAT remnants
15,naats,monthly,month,0.29,30,0.2,480,376.0,104.0,NAAT remnants
14,naats,monthly,month,0.29,30,0.4,450,376.0,74.0,NAAT remnants
14,naats,monthly,month,0.29,30,0.8,450,376.0,74.0,NAAT remnants
31,gisp,monthly,month,0.29,30,5,960,376.0,584.0,Culture
24,gisp,monthly,month,0.29,30,10,750,376.0,374.0,Culture
22,gisp,monthly,month,0.29,30,20,690,376.0,314.0,Culture
20,gisp,monthly,month,0.29,30,40,630,376.0,254.0,Culture
18,gisp,monthly,month,0.29,30,80,570,376.0,194.0,Culture
4,gisp,monthly,month,0.11,50,25,150,0.0,150.0,Culture
1,naats,monthly,month,0.11,50,0.05,60,0.0,60.0,NAAT remnants
0,naats,monthly,month,0.11,50,0.1,30,0.0,30.0,NAAT remnants
0,naats,monthly,month,0.11,50,0.2,30,0.0,30.0,NAAT remnants
0,naats,monthly,month,0.11,50,0.4,30,0.0,30.0,NAAT remnants
0,naats,monthly,month,0.11,50,0.8,30,0.0,30.0,NAAT remnants
12,gisp,monthly,month,0.11,50,5,390,0.0,390.0,Culture
10,gisp,monthly,month,0.11,50,10,330,0.0,330.0,Culture
7,gisp,monthly,month,0.11,50,20,240,0.0,240.0,Culture
4,gisp,monthly,month,0.11,50,40,150,0.0,150.0,Culture
2,gisp,monthly,month,0.11,50,80,90,0.0,90.0,Culture
7,gisp,monthly,month,0.12,50,25,240,0.0,240.0,Culture
1,naats,monthly,month,0.12,50,0.05,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.12,50,0.1,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.12,50,0.2,60,0.0,60.0,NAAT remnants
0,naats,monthly,month,0.12,50,0.4,30,0.0,30.0,NAAT remnants
0,naats,monthly,month,0.12,50,0.8,30,0.0,30.0,NAAT remnants
12,gisp,monthly,month,0.12,50,5,390,0.0,390.0,Culture
10,gisp,monthly,month,0.12,50,10,330,0.0,330.0,Culture
7,gisp,monthly,month,0.12,50,20,240,0.0,240.0,Culture
4,gisp,monthly,month,0.12,50,40,150,0.0,150.0,Culture
3,gisp,monthly,month,0.12,50,80,120,0.0,120.0,Culture
7,gisp,monthly,month,0.13,50,25,240,0.0,240.0,Culture
2,naats,monthly,month,0.13,50,0.05,90,0.0,90.0,NAAT remnants
1,naats,monthly,month,0.13,50,0.1,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.13,50,0.2,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.13,50,0.4,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.13,50,0.8,60,0.0,60.0,NAAT remnants
12,gisp,monthly,month,0.13,50,5,390,0.0,390.0,Culture
10,gisp,monthly,month,0.13,50,10,330,0.0,330.0,Culture
7,gisp,monthly,month,0.13,50,20,240,0.0,240.0,Culture
5,gisp,monthly,month,0.13,50,40,180,0.0,180.0,Culture
3,gisp,monthly,month,0.13,50,80,120,0.0,120.0,Culture
7,gisp,monthly,month,0.14,50,25,240,0.0,240.0,Culture
2,naats,monthly,month,0.14,50,0.05,90,0.0,90.0,NAAT remnants
2,naats,monthly,month,0.14,50,0.1,90,0.0,90.0,NAAT remnants
1,naats,monthly,month,0.14,50,0.2,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.14,50,0.4,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.14,50,0.8,60,0.0,60.0,NAAT remnants
12,gisp,monthly,month,0.14,50,5,390,0.0,390.0,Culture
10,gisp,monthly,month,0.14,50,10,330,0.0,330.0,Culture
7,gisp,monthly,month,0.14,50,20,240,0.0,240.0,Culture
5,gisp,monthly,month,0.14,50,40,180,0.0,180.0,Culture
4,gisp,monthly,month,0.14,50,80,150,0.0,150.0,Culture
7,gisp,monthly,month,0.15,50,25,240,0.0,240.0,Culture
3,naats,monthly,month,0.15,50,0.05,120,0.0,120.0,NAAT remnants
2,naats,monthly,month,0.15,50,0.1,90,0.0,90.0,NAAT remnants
2,naats,monthly,month,0.15,50,0.2,90,0.0,90.0,NAAT remnants
1,naats,monthly,month,0.15,50,0.4,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.15,50,0.8,60,0.0,60.0,NAAT remnants
12,gisp,monthly,month,0.15,50,5,390,0.0,390.0,Culture
10,gisp,monthly,month,0.15,50,10,330,0.0,330.0,Culture
7,gisp,monthly,month,0.15,50,20,240,0.0,240.0,Culture
5,gisp,monthly,month,0.15,50,40,180,0.0,180.0,Culture
4,gisp,monthly,month,0.15,50,80,150,0.0,150.0,Culture
7,gisp,monthly,month,0.16,50,25,240,18.0,222.0,Culture
3,naats,monthly,month,0.16,50,0.05,120,18.0,102.0,NAAT remnants
3,naats,monthly,month,0.16,50,0.1,120,18.0,102.0,NAAT remnants
2,naats,monthly,month,0.16,50,0.2,90,18.0,72.0,NAAT remnants
2,naats,monthly,month,0.16,50,0.4,90,18.0,72.0,NAAT remnants
2,naats,monthly,month,0.16,50,0.8,90,18.0,72.0,NAAT remnants
12,gisp,monthly,month,0.16,50,5,390,18.0,372.0,Culture
10,gisp,monthly,month,0.16,50,10,330,18.0,312.0,Culture
9,gisp,monthly,month,0.16,50,20,300,18.0,282.0,Culture
6,gisp,monthly,month,0.16,50,40,210,18.0,192.0,Culture
5,gisp,monthly,month,0.16,50,80,180,18.0,162.0,Culture
9,gisp,monthly,month,0.17,50,25,300,33.0,267.0,Culture
4,naats,monthly,month,0.17,50,0.05,150,33.0,117.0,NAAT remnants
3,naats,monthly,month,0.17,50,0.1,120,33.0,87.0,NAAT remnants
3,naats,monthly,month,0.17,50,0.2,120,33.0,87.0,NAAT remnants
3,naats,monthly,month,0.17,50,0.4,120,33.0,87.0,NAAT remnants
2,naats,monthly,month,0.17,50,0.8,90,33.0,57.0,NAAT remnants
12,gisp,monthly,month,0.17,50,5,390,33.0,357.0,Culture
10,gisp,monthly,month,0.17,50,10,330,33.0,297.0,Culture
9,gisp,monthly,month,0.17,50,20,300,33.0,267.0,Culture
6,gisp,monthly,month,0.17,50,40,210,33.0,177.0,Culture
5,gisp,monthly,month,0.17,50,80,180,33.0,147.0,Culture
9,gisp,monthly,month,0.18,50,25,300,48.0,252.0,Culture
4,naats,monthly,month,0.18,50,0.05,150,48.0,102.0,NAAT remnants
4,naats,monthly,month,0.18,50,0.1,150,48.0,102.0,NAAT remnants
3,naats,monthly,month,0.18,50,0.2,120,48.0,72.0,NAAT remnants
3,naats,monthly,month,0.18,50,0.4,120,48.0,72.0,NAAT remnants
3,naats,monthly,month,0.18,50,0.8,120,48.0,72.0,NAAT remnants
12,gisp,monthly,month,0.18,50,5,390,48.0,342.0,Culture
10,gisp,monthly,month,0.18,50,10,330,48.0,282.0,Culture
9,gisp,monthly,month,0.18,50,20,300,48.0,252.0,Culture
7,gisp,monthly,month,0.18,50,40,240,48.0,192.0,Culture
6,gisp,monthly,month,0.18,50,80,210,48.0,162.0,Culture
9,gisp,monthly,month,0.19,50,25,300,62.0,238.0,Culture
5,naats,monthly,month,0.19,50,0.05,180,62.0,118.0,NAAT remnants
4,naats,monthly,month,0.19,50,0.1,150,62.0,88.0,NAAT remnants
4,naats,monthly,month,0.19,50,0.2,150,62.0,88.0,NAAT remnants
3,naats,monthly,month,0.19,50,0.4,120,62.0,58.0,NAAT remnants
3,naats,monthly,month,0.19,50,0.8,120,62.0,58.0,NAAT remnants
12,gisp,monthly,month,0.19,50,5,390,62.0,328.0,Culture
10,gisp,monthly,month,0.19,50,10,330,62.0,268.0,Culture
9,gisp,monthly,month,0.19,50,20,300,62.0,238.0,Culture
7,gisp,monthly,month,0.19,50,40,240,62.0,178.0,Culture
6,gisp,monthly,month,0.19,50,80,210,62.0,148.0,Culture
9,gisp,monthly,month,0.2,50,25,300,76.0,224.0,Culture
5,naats,monthly,month,0.2,50,0.05,180,76.0,104.0,NAAT remnants
5,naats,monthly,month,0.2,50,0.1,180,76.0,104.0,NAAT remnants
4,naats,monthly,month,0.2,50,0.2,150,76.0,74.0,NAAT remnants
4,naats,monthly,month,0.2,50,0.4,150,76.0,74.0,NAAT remnants
4,naats,monthly,month,0.2,50,0.8,150,76.0,74.0,NAAT remnants
12,gisp,monthly,month,0.2,50,5,390,76.0,314.0,Culture
10,gisp,monthly,month,0.2,50,10,330,76.0,254.0,Culture
9,gisp,monthly,month,0.2,50,20,300,76.0,224.0,Culture
7,gisp,monthly,month,0.2,50,40,240,76.0,164.0,Culture
6,gisp,monthly,month,0.2,50,80,210,76.0,134.0,Culture
9,gisp,monthly,month,0.21,50,25,300,89.0,211.0,Culture
6,naats,monthly,month,0.21,50,0.05,210,89.0,121.0,NAAT remnants
5,naats,monthly,month,0.21,50,0.1,180,89.0,91.0,NAAT remnants
5,naats,monthly,month,0.21,50,0.2,180,89.0,91.0,NAAT remnants
4,naats,monthly,month,0.21,50,0.4,150,89.0,61.0,NAAT remnants
4,naats,monthly,month,0.21,50,0.8,150,89.0,61.0,NAAT remnants
18,gisp,monthly,month,0.21,50,5,570,89.0,481.0,Culture
14,gisp,monthly,month,0.21,50,10,450,89.0,361.0,Culture
11,gisp,monthly,month,0.21,50,20,360,89.0,271.0,Culture
8,gisp,monthly,month,0.21,50,40,270,89.0,181.0,Culture
7,gisp,monthly,month,0.21,50,80,240,89.0,151.0,Culture
9,gisp,monthly,month,0.22,50,25,300,102.0,198.0,Culture
6,naats,monthly,month,0.22,50,0.05,210,102.0,108.0,NAAT remnants
6,naats,monthly,month,0.22,50,0.1,210,102.0,108.0,NAAT remnants
5,naats,monthly,month,0.22,50,0.2,180,102.0,78.0,NAAT remnants
5,naats,monthly,month,0.22,50,0.4,180,102.0,78.0,NAAT remnants
5,naats,monthly,month,0.22,50,0.8,180,102.0,78.0,NAAT remnants
18,gisp,monthly,month,0.22,50,5,570,102.0,468.0,Culture
14,gisp,monthly,month,0.22,50,10,450,102.0,348.0,Culture
11,gisp,monthly,month,0.22,50,20,360,102.0,258.0,Culture
8,gisp,monthly,month,0.22,50,40,270,102.0,168.0,Culture
7,gisp,monthly,month,0.22,50,80,240,102.0,138.0,Culture
9,gisp,monthly,month,0.23,50,25,300,114.0,186.0,Culture
7,naats,monthly,month,0.23,50,0.05,240,114.0,126.0,NAAT remnants
6,naats,monthly,month,0.23,50,0.1,210,114.0,96.0,NAAT remnants
5,naats,monthly,month,0.23,50,0.2,180,114.0,66.0,NAAT remnants
5,naats,monthly,month,0.23,50,0.4,180,114.0,66.0,NAAT remnants
5,naats,monthly,month,0.23,50,0.8,180,114.0,66.0,NAAT remnants
18,gisp,monthly,month,0.23,50,5,570,114.0,456.0,Culture
14,gisp,monthly,month,0.23,50,10,450,114.0,336.0,Culture
11,gisp,monthly,month,0.23,50,20,360,114.0,246.0,Culture
9,gisp,monthly,month,0.23,50,40,300,114.0,186.0,Culture
7,gisp,monthly,month,0.23,50,80,240,114.0,126.0,Culture
9,gisp,monthly,month,0.24,50,25,300,126.0,174.0,Culture
7,naats,monthly,month,0.24,50,0.05,240,126.0,114.0,NAAT remnants
6,naats,monthly,month,0.24,50,0.1,210,126.0,84.0,NAAT remnants
6,naats,monthly,month,0.24,50,0.2,210,126.0,84.0,NAAT remnants
6,naats,monthly,month,0.24,50,0.4,210,126.0,84.0,NAAT remnants
5,naats,monthly,month,0.24,50,0.8,180,126.0,54.0,NAAT remnants
18,gisp,monthly,month,0.24,50,5,570,126.0,444.0,Culture
14,gisp,monthly,month,0.24,50,10,450,126.0,324.0,Culture
11,gisp,monthly,month,0.24,50,20,360,126.0,234.0,Culture
9,gisp,monthly,month,0.24,50,40,300,126.0,174.0,Culture
8,gisp,monthly,month,0.24,50,80,270,126.0,144.0,Culture
11,gisp,monthly,month,0.25,50,25,360,138.0,222.0,Culture
8,naats,monthly,month,0.25,50,0.05,270,138.0,132.0,NAAT remnants
7,naats,monthly,month,0.25,50,0.1,240,138.0,102.0,NAAT remnants
6,naats,monthly,month,0.25,50,0.2,210,138.0,72.0,NAAT remnants
6,naats,monthly,month,0.25,50,0.4,210,138.0,72.0,NAAT remnants
6,naats,monthly,month,0.25,50,0.8,210,138.0,72.0,NAAT remnants
18,gisp,monthly,month,0.25,50,5,570,138.0,432.0,Culture
14,gisp,monthly,month,0.25,50,10,450,138.0,312.0,Culture
11,gisp,monthly,month,0.25,50,20,360,138.0,222.0,Culture
9,gisp,monthly,month,0.25,50,40,300,138.0,162.0,Culture
8,gisp,monthly,month,0.25,50,80,270,138.0,132.0,Culture
11,gisp,monthly,month,0.26,50,25,360,149.0,211.0,Culture
8,naats,monthly,month,0.26,50,0.05,270,149.0,121.0,NAAT remnants
7,naats,monthly,month,0.26,50,0.1,240,149.0,91.0,NAAT remnants
7,naats,monthly,month,0.26,50,0.2,240,149.0,91.0,NAAT remnants
6,naats,monthly,month,0.26,50,0.4,210,149.0,61.0,NAAT remnants
6,naats,monthly,month,0.26,50,0.8,210,149.0,61.0,NAAT remnants
18,gisp,monthly,month,0.26,50,5,570,149.0,421.0,Culture
14,gisp,monthly,month,0.26,50,10,450,149.0,301.0,Culture
12,gisp,monthly,month,0.26,50,20,390,149.0,241.0,Culture
10,gisp,monthly,month,0.26,50,40,330,149.0,181.0,Culture
8,gisp,monthly,month,0.26,50,80,270,149.0,121.0,Culture
11,gisp,monthly,month,0.27,50,25,360,160.0,200.0,Culture
8,naats,monthly,month,0.27,50,0.05,270,160.0,110.0,NAAT remnants
7,naats,monthly,month,0.27,50,0.1,240,160.0,80.0,NAAT remnants
7,naats,monthly,month,0.27,50,0.2,240,160.0,80.0,NAAT remnants
7,naats,monthly,month,0.27,50,0.4,240,160.0,80.0,NAAT remnants
6,naats,monthly,month,0.27,50,0.8,210,160.0,50.0,NAAT remnants
18,gisp,monthly,month,0.27,50,5,570,160.0,410.0,Culture
14,gisp,monthly,month,0.27,50,10,450,160.0,290.0,Culture
12,gisp,monthly,month,0.27,50,20,390,160.0,230.0,Culture
10,gisp,monthly,month,0.27,50,40,330,160.0,170.0,Culture
8,gisp,monthly,month,0.27,50,80,270,160.0,110.0,Culture
11,gisp,monthly,month,0.28,50,25,360,170.0,190.0,Culture
8,naats,monthly,month,0.28,50,0.05,270,170.0,100.0,NAAT remnants
8,naats,monthly,month,0.28,50,0.1,270,170.0,100.0,NAAT remnants
7,naats,monthly,month,0.28,50,0.2,240,170.0,70.0,NAAT remnants
7,naats,monthly,month,0.28,50,0.4,240,170.0,70.0,NAAT remnants
7,naats,monthly,month,0.28,50,0.8,240,170.0,70.0,NAAT remnants
18,gisp,monthly,month,0.28,50,5,570,170.0,400.0,Culture
14,gisp,monthly,month,0.28,50,10,450,170.0,280.0,Culture
12,gisp,monthly,month,0.28,50,20,390,170.0,220.0,Culture
11,gisp,monthly,month,0.28,50,40,360,170.0,190.0,Culture
8,gisp,monthly,month,0.28,50,80,270,170.0,100.0,Culture
12,gisp,monthly,month,0.29,50,25,390,180.0,210.0,Culture
9,naats,monthly,month,0.29,50,0.05,300,180.0,120.0,NAAT remnants
8,naats,monthly,month,0.29,50,0.1,270,180.0,90.0,NAAT remnants
8,naats,monthly,month,0.29,50,0.2,270,180.0,90.0,NAAT remnants
7,naats,monthly,month,0.29,50,0.4,240,180.0,60.0,NAAT remnants
7,naats,monthly,month,0.29,50,0.8,240,180.0,60.0,NAAT remnants
18,gisp,monthly,month,0.29,50,5,570,180.0,390.0,Culture
14,gisp,monthly,month,0.29,50,10,450,180.0,270.0,Culture
12,gisp,monthly,month,0.29,50,20,390,180.0,210.0,Culture
11,gisp,monthly,month,0.29,50,40,360,180.0,180.0,Culture
9,gisp,monthly,month,0.29,50,80,300,180.0,120.0,Culture
3,gisp,monthly,month,0.11,70,25,120,0.0,120.0,Culture
1,naats,monthly,month,0.11,70,0.05,60,0.0,60.0,NAAT remnants
0,naats,monthly,month,0.11,70,0.1,30,0.0,30.0,NAAT remnants
0,naats,monthly,month,0.11,70,0.2,30,0.0,30.0,NAAT remnants
0,naats,monthly,month,0.11,70,0.4,30,0.0,30.0,NAAT remnants
0,naats,monthly,month,0.11,70,0.8,30,0.0,30.0,NAAT remnants
8,gisp,monthly,month,0.11,70,5,270,0.0,270.0,Culture
7,gisp,monthly,month,0.11,70,10,240,0.0,240.0,Culture
4,gisp,monthly,month,0.11,70,20,150,0.0,150.0,Culture
2,gisp,monthly,month,0.11,70,40,90,0.0,90.0,Culture
1,gisp,monthly,month,0.11,70,80,60,0.0,60.0,Culture
4,gisp,monthly,month,0.12,70,25,150,0.0,150.0,Culture
1,naats,monthly,month,0.12,70,0.05,60,0.0,60.0,NAAT remnants
0,naats,monthly,month,0.12,70,0.1,30,0.0,30.0,NAAT remnants
0,naats,monthly,month,0.12,70,0.2,30,0.0,30.0,NAAT remnants
0,naats,monthly,month,0.12,70,0.4,30,0.0,30.0,NAAT remnants
0,naats,monthly,month,0.12,70,0.8,30,0.0,30.0,NAAT remnants
8,gisp,monthly,month,0.12,70,5,270,0.0,270.0,Culture
7,gisp,monthly,month,0.12,70,10,240,0.0,240.0,Culture
4,gisp,monthly,month,0.12,70,20,150,0.0,150.0,Culture
2,gisp,monthly,month,0.12,70,40,90,0.0,90.0,Culture
2,gisp,monthly,month,0.12,70,80,90,0.0,90.0,Culture
4,gisp,monthly,month,0.13,70,25,150,0.0,150.0,Culture
1,naats,monthly,month,0.13,70,0.05,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.13,70,0.1,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.13,70,0.2,60,0.0,60.0,NAAT remnants
0,naats,monthly,month,0.13,70,0.4,30,0.0,30.0,NAAT remnants
0,naats,monthly,month,0.13,70,0.8,30,0.0,30.0,NAAT remnants
8,gisp,monthly,month,0.13,70,5,270,0.0,270.0,Culture
7,gisp,monthly,month,0.13,70,10,240,0.0,240.0,Culture
4,gisp,monthly,month,0.13,70,20,150,0.0,150.0,Culture
3,gisp,monthly,month,0.13,70,40,120,0.0,120.0,Culture
2,gisp,monthly,month,0.13,70,80,90,0.0,90.0,Culture
4,gisp,monthly,month,0.14,70,25,150,0.0,150.0,Culture
1,naats,monthly,month,0.14,70,0.05,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.14,70,0.1,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.14,70,0.2,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.14,70,0.4,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.14,70,0.8,60,0.0,60.0,NAAT remnants
8,gisp,monthly,month,0.14,70,5,270,0.0,270.0,Culture
7,gisp,monthly,month,0.14,70,10,240,0.0,240.0,Culture
4,gisp,monthly,month,0.14,70,20,150,0.0,150.0,Culture
3,gisp,monthly,month,0.14,70,40,120,0.0,120.0,Culture
2,gisp,monthly,month,0.14,70,80,90,0.0,90.0,Culture
4,gisp,monthly,month,0.15,70,25,150,0.0,150.0,Culture
1,naats,monthly,month,0.15,70,0.05,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.15,70,0.1,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.15,70,0.2,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.15,70,0.4,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.15,70,0.8,60,0.0,60.0,NAAT remnants
8,gisp,monthly,month,0.15,70,5,270,0.0,270.0,Culture
7,gisp,monthly,month,0.15,70,10,240,0.0,240.0,Culture
4,gisp,monthly,month,0.15,70,20,150,0.0,150.0,Culture
3,gisp,monthly,month,0.15,70,40,120,0.0,120.0,Culture
2,gisp,monthly,month,0.15,70,80,90,0.0,90.0,Culture
4,gisp,monthly,month,0.16,70,25,150,0.0,150.0,Culture
2,naats,monthly,month,0.16,70,0.05,90,0.0,90.0,NAAT remnants
1,naats,monthly,month,0.16,70,0.1,60,0.0,60.0,NAAT remnants
