value,method,pooling_level,time_unit,resistance_threshold,dpval,sampling_intensity,time_in_days,true_value,delay_in_days,method_name
1,naats,monthly,month,0.16,70,0.2,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.16,70,0.4,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.16,70,0.8,60,0.0,60.0,NAAT remnants
8,gisp,monthly,month,0.16,70,5,270,0.0,270.0,Culture
7,gisp,monthly,month,0.16,70,10,240,0.0,240.0,Culture
5,gisp,monthly,month,0.16,70,20,180,0.0,180.0,Culture
4,gisp,monthly,month,0.16,70,40,150,0.0,150.0,Culture
3,gisp,monthly,month,0.16,70,80,120,0.0,120.0,Culture
5,gisp,monthly,month,0.17,70,25,180,0.0,180.0,Culture
2,naats,monthly,month,0.17,70,0.05,90,0.0,90.0,NAAT remnants
2,naats,monthly,month,0.17,70,0.1,90,0.0,90.0,NAAT remnants
1,naats,monthly,month,0.17,70,0.2,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.17,70,0.4,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.17,70,0.8,60,0.0,60.0,NAAT remnants
8,gisp,monthly,month,0.17,70,5,270,0.0,270.0,Culture
7,gisp,monthly,month,0.17,70,10,240,0.0,240.0,Culture
5,gisp,monthly,month,0.17,70,20,180,0.0,180.0,Culture
4,gisp,monthly,month,0.17,70,40,150,0.0,150.0,Culture
3,gisp,monthly,month,0.17,70,80,120,0.0,120.0,Culture
5,gisp,monthly,month,0.18,70,25,180,6.0,174.0,Culture
2,naats,monthly,month,0.18,70,0.05,90,6.0,84.0,NAAT remnants
2,naats,monthly,month,0.18,70,0.1,90,6.0,84.0,NAAT remnants
2,naats,monthly,month,0.18,70,0.2,90,6.0,84.0,NAAT remnants
1,naats,monthly,month,0.18,70,0.4,60,6.0,54.0,NAAT remnants
1,naats,monthly,month,0.18,70,0.8,60,6.0,54.0,NAAT remnants
8,gisp,monthly,month,0.18,70,5,270,6.0,264.0,Culture
7,gisp,monthly,month,0.18,70,10,240,6.0,234.0,Culture
5,gisp,monthly,month,0.18,70,20,180,6.0,174.0,Culture
5,gisp,monthly,month,0.18,70,40,180,6.0,174.0,Culture
3,gisp,monthly,month,0.18,70,80,120,6.0,114.0,Culture
5,gisp,monthly,month,0.19,70,25,180,14.0,166.0,Culture
3,naats,monthly,month,0.19,70,0.05,120,14.0,106.0,NAAT remnants
2,naats,monthly,month,0.19,70,0.1,90,14.0,76.0,NAAT remnants
2,naats,monthly,month,0.19,70,0.2,90,14.0,76.0,NAAT remnants
2,naats,monthly,month,0.19,70,0.4,90,14.0,76.0,NAAT remnants
2,naats,monthly,month,0.19,70,0.8,90,14.0,76.0,NAAT remnants
8,gisp,monthly,month,0.19,70,5,270,14.0,256.0,Culture
7,gisp,monthly,month,0.19,70,10,240,14.0,226.0,Culture
5,gisp,monthly,month,0.19,70,20,180,14.0,166.0,Culture
5,gisp,monthly,month,0.19,70,40,180,14.0,166.0,Culture
4,gisp,monthly,month,0.19,70,80,150,14.0,136.0,Culture
5,gisp,monthly,month,0.2,70,25,180,23.0,157.0,Culture
3,naats,monthly,month,0.2,70,0.05,120,23.0,97.0,NAAT remnants
3,naats,monthly,month,0.2,70,0.1,120,23.0,97.0,NAAT remnants
2,naats,monthly,month,0.2,70,0.2,90,23.0,67.0,NAAT remnants
2,naats,monthly,month,0.2,70,0.4,90,23.0,67.0,NAAT remnants
2,naats,monthly,month,0.2,70,0.8,90,23.0,67.0,NAAT remnants
8,gisp,monthly,month,0.2,70,5,270,23.0,247.0,Culture
7,gisp,monthly,month,0.2,70,10,240,23.0,217.0,Culture
5,gisp,monthly,month,0.2,70,20,180,23.0,157.0,Culture
5,gisp,monthly,month,0.2,70,40,180,23.0,157.0,Culture
4,gisp,monthly,month,0.2,70,80,150,23.0,127.0,Culture
6,gisp,monthly,month,0.21,70,25,210,32.0,178.0,Culture
3,naats,monthly,month,0.21,70,0.05,120,32.0,88.0,NAAT remnants
3,naats,monthly,month,0.21,70,0.1,120,32.0,88.0,NAAT remnants
3,naats,monthly,month,0.21,70,0.2,120,32.0,88.0,NAAT remnants
2,naats,monthly,month,0.21,70,0.4,90,32.0,58.0,NAAT remnants
2,naats,monthly,month,0.21,70,0.8,90,32.0,58.0,NAAT remnants
11,gisp,monthly,month,0.21,70,5,360,32.0,328.0,Culture
9,gisp,monthly,month,0.21,70,10,300,32.0,268.0,Culture
7,gisp,monthly,month,0.21,70,20,240,32.0,208.0,Culture
5,gisp,monthly,month,0.21,70,40,180,32.0,148.0,Culture
4,gisp,monthly,month,0.21,70,80,150,32.0,118.0,Culture
6,gisp,monthly,month,0.22,70,25,210,40.0,170.0,Culture
4,naats,monthly,month,0.22,70,0.05,150,40.0,110.0,NAAT remnants
3,naats,monthly,month,0.22,70,0.1,120,40.0,80.0,NAAT remnants
3,naats,monthly,month,0.22,70,0.2,120,40.0,80.0,NAAT remnants
3,naats,monthly,month,0.22,70,0.4,120,40.0,80.0,NAAT remnants
2,naats,monthly,month,0.22,70,0.8,90,40.0,50.0,NAAT remnants
11,gisp,monthly,month,0.22,70,5,360,40.0,320.0,Culture
9,gisp,monthly,month,0.22,70,10,300,40.0,260.0,Culture
7,gisp,monthly,month,0.22,70,20,240,40.0,200.0,Culture
5,gisp,monthly,month,0.22,70,40,180,40.0,140.0,Culture
4,gisp,monthly,month,0.22,70,80,150,40.0,110.0,Culture
6,gisp,monthly,month,0.23,70,25,210,49.0,161.0,Culture
4,naats,monthly,month,0.23,70,0.05,150,49.0,101.0,NAAT remnants
3,naats,monthly,month,0.23,70,0.1,120,49.0,71.0,NAAT remnants
3,naats,monthly,month,0.23,70,0.2,120,49.0,71.0,NAAT remnants
3,naats,monthly,month,0.23,70,0.4,120,49.0,71.0,NAAT remnants
3,naats,monthly,month,0.23,70,0.8,120,49.0,71.0,NAAT remnants
11,gisp,monthly,month,0.23,70,5,360,49.0,311.0,Culture
9,gisp,monthly,month,0.23,70,10,300,49.0,251.0,Culture
7,gisp,monthly,month,0.23,70,20,240,49.0,191.0,Culture
6,gisp,monthly,month,0.23,70,40,210,49.0,161.0,Culture
4,gisp,monthly,month,0.23,70,80,150,49.0,101.0,Culture
6,gisp,monthly,month,0.24,70,25,210,57.0,153.0,Culture
4,naats,monthly,month,0.24,70,0.05,150,57.0,93.0,NAAT remnants
4,naats,monthly,month,0.24,70,0.1,150,57.0,93.0,NAAT remnants
3,naats,monthly,month,0.24,70,0.2,120,57.0,63.0,NAAT remnants
3,naats,monthly,month,0.24,70,0.4,120,57.0,63.0,NAAT remnants
3,naats,monthly,month,0.24,70,0.8,120,57.0,63.0,NAAT remnants
11,gisp,monthly,month,0.24,70,5,360,57.0,303.0,Culture
9,gisp,monthly,month,0.24,70,10,300,57.0,243.0,Culture
7,gisp,monthly,month,0.24,70,20,240,57.0,183.0,Culture
6,gisp,monthly,month,0.24,70,40,210,57.0,153.0,Culture
4,gisp,monthly,month,0.24,70,80,150,57.0,93.0,Culture
7,gisp,monthly,month,0.25,70,25,240,66.0,174.0,Culture
5,naats,monthly,month,0.25,70,0.05,180,66.0,114.0,NAAT remnants
4,naats,monthly,month,0.25,70,0.1,150,66.0,84.0,NAAT remnants
4,naats,monthly,month,0.25,70,0.2,150,66.0,84.0,NAAT remnants
3,naats,monthly,month,0.25,70,0.4,120,66.0,54.0,NAAT remnants
3,naats,monthly,month,0.25,70,0.8,120,66.0,54.0,NAAT remnants
11,gisp,monthly,month,0.25,70,5,360,66.0,294.0,Culture
9,gisp,monthly,month,0.25,70,10,300,66.0,234.0,Culture
7,gisp,monthly,month,0.25,70,20,240,66.0,174.0,Culture
6,gisp,monthly,month,0.25,70,40,210,66.0,144.0,Culture
4,gisp,monthly,month,0.25,70,80,150,66.0,84.0,Culture
7,gisp,monthly,month,0.26,70,25,240,74.0,166.0,Culture
5,naats,monthly,month,0.26,70,0.05,180,74.0,106.0,NAAT remnants
4,naats,monthly,month,0.26,70,0.1,150,74.0,76.0,NAAT remnants
4,naats,monthly,month,0.26,70,0.2,150,74.0,76.0,NAAT remnants
4,naats,monthly,month,0.26,70,0.4,150,74.0,76.0,NAAT remnants
4,naats,monthly,month,0.26,70,0.8,150,74.0,76.0,NAAT remnants
11,gisp,monthly,month,0.26,70,5,360,74.0,286.0,Culture
9,gisp,monthly,month,0.26,70,10,300,74.0,226.0,Culture
8,gisp,monthly,month,0.26,70,20,270,74.0,196.0,Culture
6,gisp,monthly,month,0.26,70,40,210,74.0,136.0,Culture
5,gisp,monthly,month,0.26,70,80,180,74.0,106.0,Culture
7,gisp,monthly,month,0.27,70,25,240,81.0,159.0,Culture
5,naats,monthly,month,0.27,70,0.05,180,81.0,99.0,NAAT remnants
4,naats,monthly,month,0.27,70,0.1,150,81.0,69.0,NAAT remnants
4,naats,monthly,month,0.27,70,0.2,150,81.0,69.0,NAAT remnants
4,naats,monthly,month,0.27,70,0.4,150,81.0,69.0,NAAT remnants
4,naats,monthly,month,0.27,70,0.8,150,81.0,69.0,NAAT remnants
11,gisp,monthly,month,0.27,70,5,360,81.0,279.0,Culture
9,gisp,monthly,month,0.27,70,10,300,81.0,219.0,Culture
8,gisp,monthly,month,0.27,70,20,270,81.0,189.0,Culture
6,gisp,monthly,month,0.27,70,40,210,81.0,129.0,Culture
5,gisp,monthly,month,0.27,70,80,180,81.0,99.0,Culture
7,gisp,monthly,month,0.28,70,25,240,89.0,151.0,Culture
5,naats,monthly,month,0.28,70,0.05,180,89.0,91.0,NAAT remnants
5,naats,monthly,month,0.28,70,0.1,180,89.0,91.0,NAAT remnants
4,naats,monthly,month,0.28,70,0.2,150,89.0,61.0,NAAT remnants
4,naats,monthly,month,0.28,70,0.4,150,89.0,61.0,NAAT remnants
4,naats,monthly,month,0.28,70,0.8,150,89.0,61.0,NAAT remnants
11,gisp,monthly,month,0.28,70,5,360,89.0,271.0,Culture
9,gisp,monthly,month,0.28,70,10,300,89.0,211.0,Culture
8,gisp,monthly,month,0.28,70,20,270,89.0,181.0,Culture
7,gisp,monthly,month,0.28,70,40,240,89.0,151.0,Culture
5,gisp,monthly,month,0.28,70,80,180,89.0,91.0,Culture
8,gisp,monthly,month,0.29,70,25,270,96.0,174.0,Culture
5,naats,monthly,month,0.29,70,0.05,180,96.0,84.0,NAAT remnants
5,naats,monthly,month,0.29,70,0.1,180,96.0,84.0,NAAT remnants
5,naats,monthly,month,0.29,70,0.2,180,96.0,84.0,NAAT remnants
4,naats,monthly,month,0.29,70,0.4,150,96.0,54.0,NAAT remnants
4,naats,monthly,month,0.29,70,0.8,150,96.0,54.0,NAAT remnants
11,gisp,monthly,month,0.29,70,5,360,96.0,264.0,Culture
9,gisp,monthly,month,0.29,70,10,300,96.0,204.0,Culture
8,gisp,monthly,month,0.29,70,20,270,96.0,174.0,Culture
7,gisp,monthly,month,0.29,70,40,240,96.0,144.0,Culture
5,gisp,monthly,month,0.29,70,80,180,96.0,84.0,Culture
1,gisp,monthly,month,0.11,90,25,60,0.0,60.0,Culture
0,naats,monthly,month,0.11,90,0.05,30,0.0,30.0,NAAT remnants
0,naats,monthly,month,0.11,90,0.1,30,0.0,30.0,NAAT remnants
0,naats,monthly,month,0.11,90,0.2,30,0.0,30.0,NAAT remnants
0,naats,monthly,month,0.11,90,0.4,30,0.0,30.0,NAAT remnants
0,naats,monthly,month,0.11,90,0.8,30,0.0,30.0,NAAT remnants
5,gisp,monthly,month,0.11,90,5,180,0.0,180.0,Culture
4,gisp,monthly,month,0.11,90,10,150,0.0,150.0,Culture
3,gisp,monthly,month,0.11,90,20,120,0.0,120.0,Culture
1,gisp,monthly,month,0.11,90,40,60,0.0,60.0,Culture
1,gisp,monthly,month,0.11,90,80,60,0.0,60.0,Culture
2,gisp,monthly,month,0.12,90,25,90,0.0,90.0,Culture
0,naats,monthly,month,0.12,90,0.05,30,0.0,30.0,NAAT remnants
0,naats,monthly,month,0.12,90,0.1,30,0.0,30.0,NAAT remnants
0,naats,monthly,month,0.12,90,0.2,30,0.0,30.0,NAAT remnants
0,naats,monthly,month,0.12,90,0.4,30,0.0,30.0,NAAT remnants
0,naats,monthly,month,0.12,90,0.8,30,0.0,30.0,NAAT remnants
5,gisp,monthly,month,0.12,90,5,180,0.0,180.0,Culture
4,gisp,monthly,month,0.12,90,10,150,0.0,150.0,Culture
3,gisp,monthly,month,0.12,90,20,120,0.0,120.0,Culture
1,gisp,monthly,month,0.12,90,40,60,0.0,60.0,Culture
1,gisp,monthly,month,0.12,90,80,60,0.0,60.0,Culture
2,gisp,monthly,month,0.13,90,25,90,0.0,90.0,Culture
1,naats,monthly,month,0.13,90,0.05,60,0.0,60.0,NAAT remnants
0,naats,monthly,month,0.13,90,0.1,30,0.0,30.0,NAAT remnants
0,naats,monthly,month,0.13,90,0.2,30,0.0,30.0,NAAT remnants
0,naats,monthly,month,0.13,90,0.4,30,0.0,30.0,NAAT remnants
0,naats,monthly,month,0.13,90,0.8,30,0.0,30.0,NAAT remnants
5,gisp,monthly,month,0.13,90,5,180,0.0,180.0,Culture
4,gisp,monthly,month,0.13,90,10,150,0.0,150.0,Culture
3,gisp,monthly,month,0.13,90,20,120,0.0,120.0,Culture
2,gisp,monthly,month,0.13,90,40,90,0.0,90.0,Culture
1,gisp,monthly,month,0.13,90,80,60,0.0,60.0,Culture
2,gisp,monthly,month,0.14,90,25,90,0.0,90.0,Culture
1,naats,monthly,month,0.14,90,0.05,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.14,90,0.1,60,0.0,60.0,NAAT remnants
0,naats,monthly,month,0.14,90,0.2,30,0.0,30.0,NAAT remnants
0,naats,monthly,month,0.14,90,0.4,30,0.0,30.0,NAAT remnants
0,naats,monthly,month,0.14,90,0.8,30,0.0,30.0,NAAT remnants
5,gisp,monthly,month,0.14,90,5,180,0.0,180.0,Culture
4,gisp,monthly,month,0.14,90,10,150,0.0,150.0,Culture
3,gisp,monthly,month,0.14,90,20,120,0.0,120.0,Culture
2,gisp,monthly,month,0.14,90,40,90,0.0,90.0,Culture
1,gisp,monthly,month,0.14,90,80,60,0.0,60.0,Culture
2,gisp,monthly,month,0.15,90,25,90,0.0,90.0,Culture
1,naats,monthly,month,0.15,90,0.05,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.15,90,0.1,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.15,90,0.2,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.15,90,0.4,60,0.0,60.0,NAAT remnants
0,naats,monthly,month,0.15,90,0.8,30,0.0,30.0,NAAT remnants
5,gisp,monthly,month,0.15,90,5,180,0.0,180.0,Culture
4,gisp,monthly,month,0.15,90,10,150,0.0,150.0,Culture
3,gisp,monthly,month,0.15,90,20,120,0.0,120.0,Culture
2,gisp,monthly,month,0.15,90,40,90,0.0,90.0,Culture
1,gisp,monthly,month,0.15,90,80,60,0.0,60.0,Culture
2,gisp,monthly,month,0.16,90,25,90,0.0,90.0,Culture
1,naats,monthly,month,0.16,90,0.05,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.16,90,0.1,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.16,90,0.2,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.16,90,0.4,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.16,90,0.8,60,0.0,60.0,NAAT remnants
5,gisp,monthly,month,0.16,90,5,180,0.0,180.0,Culture
4,gisp,monthly,month,0.16,90,10,150,0.0,150.0,Culture
3,gisp,monthly,month,0.16,90,20,120,0.0,120.0,Culture
2,gisp,monthly,month,0.16,90,40,90,0.0,90.0,Culture
2,gisp,monthly,month,0.16,90,80,90,0.0,90.0,Culture
3,gisp,monthly,month,0.17,90,25,120,0.0,120.0,Culture
1,naats,monthly,month,0.17,90,0.05,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.17,90,0.1,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.17,90,0.2,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.17,90,0.4,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.17,90,0.8,60,0.0,60.0,NAAT remnants
5,gisp,monthly,month,0.17,90,5,180,0.0,180.0,Culture
4,gisp,monthly,month,0.17,90,10,150,0.0,150.0,Culture
3,gisp,monthly,month,0.17,90,20,120,0.0,120.0,Culture
2,gisp,monthly,month,0.17,90,40,90,0.0,90.0,Culture
2,gisp,monthly,month,0.17,90,80,90,0.0,90.0,Culture
3,gisp,monthly,month,0.18,90,25,120,0.0,120.0,Culture
1,naats,monthly,month,0.18,90,0.05,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.18,90,0.1,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.18,90,0.2,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.18,90,0.4,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.18,90,0.8,60,0.0,60.0,NAAT remnants
5,gisp,monthly,month,0.18,90,5,180,0.0,180.0,Culture
4,gisp,monthly,month,0.18,90,10,150,0.0,150.0,Culture
3,gisp,monthly,month,0.18,90,20,120,0.0,120.0,Culture
3,gisp,monthly,month,0.18,90,40,120,0.0,120.0,Culture
2,gisp,monthly,month,0.18,90,80,90,0.0,90.0,Culture
3,gisp,monthly,month,0.19,90,25,120,0.0,120.0,Culture
2,naats,monthly,month,0.19,90,0.05,90,0.0,90.0,NAAT remnants
1,naats,monthly,month,0.19,90,0.1,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.19,90,0.2,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.19,90,0.4,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.19,90,0.8,60,0.0,60.0,NAAT remnants
5,gisp,monthly,month,0.19,90,5,180,0.0,180.0,Culture
4,gisp,monthly,month,0.19,90,10,150,0.0,150.0,Culture
3,gisp,monthly,month,0.19,90,20,120,0.0,120.0,Culture
3,gisp,monthly,month,0.19,90,40,120,0.0,120.0,Culture
2,gisp,monthly,month,0.19,90,80,90,0.0,90.0,Culture
3,gisp,monthly,month,0.2,90,25,120,0.0,120.0,Culture
2,naats,monthly,month,0.2,90,0.05,90,0.0,90.0,NAAT remnants
1,naats,monthly,month,0.2,90,0.1,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.2,90,0.2,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.2,90,0.4,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.2,90,0.8,60,0.0,60.0,NAAT remnants
5,gisp,monthly,month,0.2,90,5,180,0.0,180.0,Culture
4,gisp,monthly,month,0.2,90,10,150,0.0,150.0,Culture
3,gisp,monthly,month,0.2,90,20,120,0.0,120.0,Culture
3,gisp,monthly,month,0.2,90,40,120,0.0,120.0,Culture
2,gisp,monthly,month,0.2,90,80,90,0.0,90.0,Culture
4,gisp,monthly,month,0.21,90,25,150,0.0,150.0,Culture
2,naats,monthly,month,0.21,90,0.05,90,0.0,90.0,NAAT remnants
2,naats,monthly,month,0.21,90,0.1,90,0.0,90.0,NAAT remnants
1,naats,monthly,month,0.21,90,0.2,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.21,90,0.4,60,0.0,60.0,NAAT remnants
1,naats,monthly,month,0.21,90,0.8,60,0.0,60.0,NAAT remnants
8,gisp,monthly,month,0.21,90,5,270,0.0,270.0,Culture
6,gisp,monthly,month,0.21,90,10,210,0.0,210.0,Culture
4,gisp,monthly,month,0.21,90,20,150,0.0,150.0,Culture
3,gisp,monthly,month,0.21,90,40,120,0.0,120.0,Culture
2,gisp,monthly,month,0.21,90,80,90,0.0,90.0,Culture
4,gisp,monthly,month,0.22,90,25,150,5.0,145.0,Culture
2,naats,monthly,month,0.22,90,0.05,90,5.0,85.0,NAAT remnants
2,naats,monthly,month,0.22,90,0.1,90,5.0,85.0,NAAT remnants
2,naats,monthly,month,0.22,90,0.2,90,5.0,85.0,NAAT remnants
1,naats,monthly,month,0.22,90,0.4,60,5.0,55.0,NAAT remnants
1,naats,monthly,month,0.22,90,0.8,60,5.0,55.0,NAAT remnants
8,gisp,monthly,month,0.22,90,5,270,5.0,265.0,Culture
6,gisp,monthly,month,0.22,90,10,210,5.0,205.0,Culture
4,gisp,monthly,month,0.22,90,20,150,5.0,145.0,Culture
3,gisp,monthly,month,0.22,90,40,120,5.0,115.0,Culture
2,gisp,monthly,month,0.22,90,80,90,5.0,85.0,Culture
4,gisp,monthly,month,0.23,90,25,150,10.0,140.0,Culture
2,naats,monthly,month,0.23,90,0.05,90,10.0,80.0,NAAT remnants
2,naats,monthly,month,0.23,90,0.1,90,10.0,80.0,NAAT remnants
2,naats,monthly,month,0.23,90,0.2,90,10.0,80.0,NAAT remnants
2,naats,monthly,month,0.23,90,0.4,90,10.0,80.0,NAAT remnants
2,naats,monthly,month,0.23,90,0.8,90,10.0,80.0,NAAT remnants
8,gisp,monthly,month,0.23,90,5,270,10.0,260.0,Culture
6,gisp,monthly,month,0.23,90,10,210,10.0,200.0,Culture
4,gisp,monthly,month,0.23,90,20,150,10.0,140.0,Culture
4,gisp,monthly,month,0.23,90,40,150,10.0,140.0,Culture
2,gisp,monthly,month,0.23,90,80,90,10.0,80.0,Culture
4,gisp,monthly,month,0.24,90,25,150,16.0,134.0,Culture
3,naats,monthly,month,0.24,90,0.05,120,16.0,104.0,NAAT remnants
2,naats,monthly,month,0.24,90,0.1,90,16.0,74.0,NAAT remnants
2,naats,monthly,month,0.24,90,0.2,90,16.0,74.0,NAAT remnants
2,naats,monthly,month,0.24,90,0.4,90,16.0,74.0,NAAT remnants
2,naats,monthly,month,0.24,90,0.8,90,16.0,74.0,NAAT remnants
8,gisp,monthly,month,0.24,90,5,270,16.0,254.0,Culture
6,gisp,monthly,month,0.24,90,10,210,16.0,194.0,Culture
4,gisp,monthly,month,0.24,90,20,150,16.0,134.0,Culture
4,gisp,monthly,month,0.24,90,40,150,16.0,134.0,Culture
3,gisp,monthly,month,0.24,90,80,120,16.0,104.0,Culture
5,gisp,monthly,month,0.25,90,25,180,22.0,158.0,Culture
3,naats,monthly,month,0.25,90,0.05,120,22.0,98.0,NAAT remnants
2,naats,monthly,month,0.25,90,0.1,90,22.0,68.0,NAAT remnants
2,naats,monthly,month,0.25,90,0.2,90,22.0,68.0,NAAT remnants
2,naats,monthly,month,0.25,90,0.4,90,22.0,68.0,NAAT remnants
2,naats,monthly,month,0.25,90,0.8,90,22.0,68.0,NAAT remnants
8,gisp,monthly,month,0.25,90,5,270,22.0,248.0,Culture
6,gisp,monthly,month,0.25,90,10,210,22.0,188.0,Culture
4,gisp,monthly,month,0.25,90,20,150,22.0,128.0,Culture
4,gisp,monthly,month,0.25,90,40,150,22.0,128.0,Culture
3,gisp,monthly,month,0.25,90,80,120,22.0,98.0,Culture
5,gisp,monthly,month,0.26,90,25,180,27.0,153.0,Culture
3,naats,monthly,month,0.26,90,0.05,120,27.0,93.0,NAAT remnants
3,naats,monthly,month,0.26,90,0.1,120,27.0,93.0,NAAT remnants
2,naats,monthly,month,0.26,90,0.2,90,27.0,63.0,NAAT remnants
2,naats,monthly,month,0.26,90,0.4,90,27.0,63.0,NAAT remnants
2,naats,monthly,month,0.26,90,0.8,90,27.0,63.0,NAAT remnants
8,gisp,monthly,month,0.26,90,5,270,27.0,243.0,Culture
6,gisp,monthly,month,0.26,90,10,210,27.0,183.0,Culture
5,gisp,monthly,month,0.26,90,20,180,27.0,153.0,Culture
4,gisp,monthly,month,0.26,90,40,150,27.0,123.0,Culture
3,gisp,monthly,month,0.26,90,80,120,27.0,93.0,Culture
5,gisp,monthly,month,0.27,90,25,180,33.0,147.0,Culture
3,naats,monthly,month,0.27,90,0.05,120,33.0,87.0,NAAT remnants
3,naats,monthly,month,0.27,90,0.1,120,33.0,87.0,NAAT remnants
3,naats,monthly,month,0.27,90,0.2,120,33.0,87.0,NAAT remnants
2,naats,monthly,month,0.27,90,0.4,90,33.0,57.0,NAAT remnants
2,naats,monthly,month,0.27,90,0.8,90,33.0,57.0,NAAT remnants
8,gisp,monthly,month,0.27,90,5,270,33.0,237.0,Culture
6,gisp,monthly,month,0.27,90,10,210,33.0,177.0,Culture
5,gisp,monthly,month,0.27,90,20,180,33.0,147.0,Culture
4,gisp,monthly,month,0.27,90,40,150,33.0,117.0,Culture
3,gisp,monthly,month,0.27,90,80,120,33.0,87.0,Culture
5,gisp,monthly,month,0.28,90,25,180,39.0,141.0,Culture
3,naats,monthly,month,0.28,90,0.05,120,39.0,81.0,NAAT remnants
3,naats,monthly,month,0.28,90,0.1,120,39.0,81.0,NAAT remnants
3,naats,monthly,month,0.28,90,0.2,120,39.0,81.0,NAAT remnants
3,naats,monthly,month,0.28,90,0.4,120,39.0,81.0,NAAT remnants
2,naats,monthly,month,0.28,90,0.8,90,39.0,51.0,NAAT remnants
8,gisp,monthly,month,0.28,90,5,270,39.0,231.0,Culture
6,gisp,monthly,month,0.28,90,10,210,39.0,171.0,Culture
5,gisp,monthly,month,0.28,90,20,180,39.0,141.0,Culture
4,gisp,monthly,month,0.28,90,40,150,39.0,111.0,Culture
3,gisp,monthly,month,0.28,90,80,120,39.0,81.0,Culture
5,gisp,monthly,month,0.29,90,25,180,45.0,135.0,Culture
3,naats,monthly,month,0.29,90,0.05,120,45.0,75.0,NAAT remnants
3,naats,monthly,month,0.29,90,0.1,120,45.0,75.0,NAAT remnants
3,naats,monthly,month,0.29,90,0.2,120,45.0,75.0,NAAT remnants
3,naats,monthly,month,0.29,90,0.4,120,45.0,75.0,NAAT remnants
3,naats,monthly,month,0.29,90,0.8,120,45.0,75.0,NAAT remnants
8,gisp,monthly,month,0.29,90,5,270,45.0,225.0,Culture
6,gisp,monthly,month,0.29,90,10,210,45.0,165.0,Culture
5,gisp,monthly,month,0.29,90,20,180,45.0,135.0,Culture
4,gisp,monthly,month,0.29,90,40,150,45.0,105.0,Culture
3,gisp,monthly,month,0.29,90,80,120,45.0,75.0,Culture
